Temperature0;Temperature1;Temperature2;Temperature3;Temperature4;Temperature_Rose;Humidite;Temps
"+27.5
";"+26.4
";"-05.7
";"-00.3
";"-04.1
";"+09.3
";"032
";2019-05-23 10:34:37
"+27.5
";"+26.7
";"-05.7
";"-00.9
";"-03.8
";"+08.9
";"031
";2019-05-23 10:34:47
"+27.5
";"+26.7
";"-05.7
";"-00.9
";"-04.1
";"+08.9
";"031
";2019-05-23 10:34:57
"+27.5
";"+26.0
";"-05.7
";"-00.6
";"-04.1
";"+08.9
";"031
";2019-05-23 10:35:08
"+27.6
";"+26.4
";"-05.7
";"-00.6
";"-04.5
";"+08.9
";"031
";2019-05-23 10:35:18
"+27.6
";"+26.4
";"-06.1
";"-00.3
";"-04.5
";"+09.4
";"032
";2019-05-23 10:35:28
"+27.6
";"+26.0
";"-05.7
";"-00.6
";"-04.1
";"+09.0
";"031
";2019-05-23 10:35:38
"+27.6
";"+26.7
";"-05.7
";"-00.9
";"-03.5
";"+09.0
";"031
";2019-05-23 10:35:48
"+27.7
";"+26.7
";"-05.7
";"-00.9
";"-04.8
";"+09.0
";"031
";2019-05-23 10:35:59
"+27.7
";"+26.4
";"-05.7
";"-00.6
";"-04.5
";"+09.5
";"032
";2019-05-23 10:36:09
"+27.7
";"+26.4
";"-06.1
";"-00.6
";"-04.5
";"+09.5
";"032
";2019-05-23 10:36:19
"+27.7
";"+26.7
";"-06.1
";"-00.6
";"-04.5
";"+09.6
";"032
";2019-05-23 10:36:29
"+27.8
";"+26.7
";"-06.1
";"-00.6
";"-04.1
";"+09.1
";"031
";2019-05-23 10:36:39
"+27.7
";"+26.0
";"-06.1
";"-00.9
";"-04.5
";"+09.1
";"031
";2019-05-23 10:36:50
"+27.8
";"+26.4
";"-06.1
";"-00.6
";"-05.4
";"+09.1
";"031
";2019-05-23 10:37:00
"+27.8
";"+26.7
";"-05.7
";"-00.6
";"-04.5
";"+09.1
";"031
";2019-05-23 10:37:10
"+27.8
";"+26.7
";"-05.7
";"-00.6
";"-04.5
";"+09.2
";"031
";2019-05-23 10:37:20
"+27.8
";"+26.4
";"-06.1
";"-00.3
";"-03.5
";"+09.2
";"031
";2019-05-23 10:37:30
"+27.9
";"+27.0
";"-06.1
";"-00.6
";"-03.8
";"+09.2
";"031
";2019-05-23 10:37:41
"+27.8
";"+26.4
";"-05.7
";"-00.9
";"-03.8
";"+09.2
";"031
";2019-05-23 10:37:51
"+27.8
";"+26.4
";"-05.7
";"-00.6
";"-03.8
";"+09.1
";"031
";2019-05-23 10:38:01
"+27.8
";"+26.4
";"-05.7
";"-00.6
";"-04.1
";"+09.2
";"031
";2019-05-23 10:38:11
"+27.9
";"+26.7
";"-05.7
";"-00.6
";"-04.1
";"+09.2
";"031
";2019-05-23 10:38:21
"+27.9
";"+26.7
";"-05.7
";"-00.9
";"-04.1
";"+09.7
";"032
";2019-05-23 10:38:32
"+27.9
";"+26.4
";"-05.7
";"-00.6
";"-03.8
";"+09.7
";"032
";2019-05-23 10:38:42
"+27.9
";"+27.0
";"-06.1
";"-00.3
";"-03.8
";"+09.7
";"032
";2019-05-23 10:38:52
"+28.0
";"+26.4
";"-06.1
";"-00.6
";"-03.8
";"+11.5
";"036
";2019-05-23 10:39:02
"+28.0
";"+26.7
";"-06.1
";"-00.6
";"-03.8
";"+09.7
";"032
";2019-05-23 10:39:13
"+28.0
";"+26.4
";"-06.1
";"-00.6
";"-04.8
";"+09.3
";"031
";2019-05-23 10:39:23
"+28.0
";"+27.0
";"-05.7
";"-00.6
";"-03.8
";"+10.2
";"033
";2019-05-23 10:39:33
"+28.0
";"+26.7
";"-05.7
";"-00.6
";"-04.5
";"+09.3
";"031
";2019-05-23 10:39:43
"+28.0
";"+26.7
";"-05.7
";"-00.6
";"-03.5
";"+09.3
";"031
";2019-05-23 10:39:53
"+28.0
";"+26.7
";"-05.7
";"-00.9
";"-05.4
";"+09.7
";"032
";2019-05-23 10:40:04
