   1;          ;00 05 09.9;+45 13 45; 6.70
   2;          ;00 05 03.8;-00 30 11; 6.29
   3; 33    Psc;00 05 20.1;-05 42 27; 4.61
   4; 86    Peg;00 05 42.0;+13 23 46; 5.51
   5;          ;00 06 16.0;+58 26 12; 5.96
   6;          ;00 06 19.0;-49 04 30; 5.70
   7; 10    Cas;00 06 26.5;+64 11 46; 5.59
   8;          ;00 06 36.8;+29 01 17; 6.13
   9;          ;00 06 50.1;-23 06 27; 6.18
  10;          ;00 07 18.2;-17 23 11; 6.19
  11;          ;00 07 44.1;-02 32 56; 6.43
  12;          ;00 07 46.8;-22 30 32; 5.94
  13;          ;00 08 03.5;-33 31 46; 5.68
  14;          ;00 08 12.1;-02 26 52; 6.07
  15; 21Alp And;00 08 23.3;+29 05 26; 2.06
  16;          ;00 08 17.4;-08 49 26; 5.99
  17;          ;00 08 41.0;+36 37 36; 6.19
  18;          ;00 08 33.4;-17 34 39; 6.06
  19;          ;00 08 52.2;+25 27 46; 6.23
  20;          ;00 09 20.2;+79 42 53; 6.01
  21; 11Bet Cas;00 09 10.7;+59 08 59; 2.27
  22; 87    Peg;00 09 02.4;+18 12 43; 5.53
  23;          ;00 09 02.4;-54 00 07; 6.33
  24;   Kap1Scl;00 09 21.0;-27 59 16; 5.42
  25;   Eps Phe;00 09 24.7;-45 44 51; 3.88
  26; 34    Psc;00 10 02.3;+11 08 44; 5.51
  27; 22    And;00 10 19.3;+46 04 20; 5.03
  28;          ;00 10 29.7;+57 09 56; 6.74
  29;          ;00 10 18.8;-05 14 55; 5.84
  30;   Gam3Oct;00 10 02.1;-82 13 26; 5.28
  31;          ;00 10 42.8;-12 34 48; 5.85
  32;          ;00 10 38.6;-73 13 28; 6.64
  33;  6    Cet;00 11 15.9;-15 28 05; 4.89
  34;   Kap2Scl;00 11 34.4;-27 47 59; 5.41
  35;   The Scl;00 11 44.0;-35 07 59; 5.25
  36;          ;00 11 59.1;+48 09 09; 6.16
  37;          ;00 12 10.0;-17 56 18; 5.25
  38;          ;00 12 50.4;+37 41 36; 6.73
  39; 88Gam Peg;00 13 14.2;+15 11 01; 2.83
  40;          ;00 13 24.0;+26 59 14; 6.30
  41; 23    And;00 13 30.8;+41 02 07; 5.72
  42;          ;00 13 42.1;-26 01 19; 5.94
  43;          ;00 13 44.2;-26 17 05; 6.31
  44;          ;00 14 02.3;+33 12 22; 6.25
  45; 89Chi Peg;00 14 36.2;+20 12 24; 4.80
  46;          ;00 14 27.6;-07 46 50; 5.12
  47;          ;00 13 19.4;-84 59 39; 5.77
  48;  7    Cet;00 14 38.4;-18 55 58; 4.44
  49;          ;00 14 56.1;+22 17 03; 6.24
  50; 35    Psc;00 14 58.8;+08 49 15; 5.79
  51;          ;00 14 54.5;-09 34 11; 5.75
  52;          ;00 15 07.0;+31 32 09; 6.45
  53;          ;00 15 10.6;+27 16 59; 6.35
  54;          ;00 14 58.2;-34 54 16; 6.17
  55;          ;00 16 14.0;+76 57 03; 6.35
  56;          ;00 16 21.6;+43 35 41; 6.15
  57;          ;00 16 08.9;-31 26 47; 5.67
  58;          ;00 15 55.2;-75 54 41; 6.49
  59; 36    Psc;00 16 34.1;+08 14 24; 6.11
  60;          ;00 16 57.1;+61 32 00; 5.74
  61;          ;00 16 42.5;-20 12 38; 6.47
  62;          ;00 17 09.1;+47 56 51; 5.89
  63; 24The And;00 17 05.5;+38 40 54; 4.61
  64;          ;00 16 49.0;-78 46 50; 6.77
  65;          ;00 17 43.0;+51 25 59; 6.14
  66;          ;00 17 32.6;-19 03 04; 6.45
  67;          ;00 17 47.7;+01 41 20; 6.17
  68; 25Sig And;00 18 19.7;+36 47 07; 4.52
  69;          ;00 18 17.2;+11 12 21; 6.05
  70; 26    And;00 18 42.1;+43 47 28; 6.11
  71;          ;00 18 38.3;+31 31 02; 5.87
  72;          ;00 18 41.8;-08 03 10; 6.46
  73;          ;00 18 42.6;-43 14 07; 6.33
  74;  8Iot Cet;00 19 25.7;-08 49 26; 3.56
  75;          ;00 19 41.6;+40 43 47; 6.33
  76;          ;00 20 05.2;+48 51 55; 6.52
  77;   Zet Tuc;00 20 04.3;-64 52 29; 4.23
  78;          ;00 20 24.4;+30 56 09; 5.90
  79;          ;00 20 45.5;+32 54 41; 5.79
  80; 41    Psc;00 20 35.9;+08 11 25; 5.37
  81;          ;00 20 54.5;+10 58 37; 6.56
  82; 27Rho And;00 21 07.3;+37 58 07; 5.18
  83;   Pi  Tuc;00 20 39.0;-69 37 30; 5.51
  84;   Iot Scl;00 21 31.2;-28 58 54; 5.18
  85;          ;00 21 46.3;-20 03 28; 5.12
  86; 42    Psc;00 22 25.5;+13 28 57; 6.23
  87;          ;00 21 28.6;-77 25 37; 5.97
  88;  9    Cet;00 22 51.8;-12 12 34; 6.39
  89;          ;00 23 12.6;-31 02 10; 6.55
  90;          ;00 24 02.0;+38 34 38; 7.39
  91;          ;00 24 15.6;+52 01 12; 5.57
  92; NOVA 1572;          ;         ;
  93; 12    Cas;00 24 47.5;+61 49 52; 5.40
  94;          ;00 24 29.7;-02 13 09; 6.07
  95; 47    Tuc;          ;         ;
  96;          ;00 25 06.4;+53 02 49; 5.74
  97; 44    Psc;00 25 24.2;+01 56 23; 5.77
  98;   Bet Hyi;00 25 45.1;-77 15 15; 2.80
  99;   Alp Phe;00 26 17.0;-42 18 22; 2.39
 100;   Kap Phe;00 26 12.2;-43 40 48; 3.94
 101; 10    Cet;00 26 37.4;-00 02 59; 6.19
 102;          ;00 27 14.7;-25 32 50; 5.98
 103; 47    Psc;00 28 02.9;+17 53 35; 5.06
 104;          ;00 28 13.7;+44 23 40; 5.17
 105;   Eta Scl;00 27 55.7;-33 00 26; 4.81
 106; 48    Psc;00 28 12.7;+16 26 42; 6.06
 107;          ;00 28 20.1;+10 11 23; 6.04
 108;          ;00 28 21.1;-20 20 06; 6.43
 109;          ;00 28 26.4;-39 54 54; 5.43
 110;          ;00 28 56.6;+36 54 00; 6.26
 111;          ;00 28 43.1;-50 31 58; 6.26
 112;          ;00 30 55.0;+77 01 10; 6.21
 113;          ;00 30 19.9;+59 58 38; 5.94
 114; 28    And;00 30 07.3;+29 45 06; 5.23
 115;          ;00 29 51.9;-14 51 51; 6.14
 116;          ;00 29 48.9;-32 07 00; 6.57
 117; 12    Cet;00 30 02.4;-03 57 26; 5.72
 118;          ;00 30 22.7;-23 47 16; 5.19
 119;          ;00 30 27.8;-40 56 22; 6.19
 120;          ;00 30 26.1;-48 12 54; 5.69
 121; 13    Cas;00 31 25.3;+66 31 10; 6.18
 122;          ;00 31 25.6;+33 34 54; 5.87
 123; 14Lam Cas;00 31 46.4;+54 31 20; 4.73
 124;          ;00 31 41.2;+52 50 22; 5.60
 125;   Lam1Phe;00 31 25.0;-48 48 13; 4.77
 126;   Bet1Tuc;00 31 32.7;-62 57 29; 4.37
 127;   Bet2Tuc;00 31 33.6;-62 57 57; 4.54
 128;          ;00 32 26.8;+43 29 41; 6.70
 129;          ;00 33 19.3;+70 58 54; 6.42
 130; 15Kap Cas;00 33 00.0;+62 55 54; 4.16
 131; 52    Psc;00 32 35.5;+20 17 40; 5.38
 132; 51    Psc;00 32 23.8;+06 57 20; 5.67
 133;          ;00 32 34.5;+27 34 50; 6.67
 134;          ;00 32 49.1;+28 16 49; 6.30
 135;          ;00 33 10.4;+54 53 42; 5.93
 136;   Bet3Tuc;00 32 43.8;-63 01 52; 5.09
 137; 16    Cas;00 34 24.9;+66 45 01; 6.48
 138;          ;00 33 41.1;-29 33 30; 5.55
 139;   The Tuc;00 33 23.3;-71 15 58; 6.13
 140;          ;00 34 27.8;-52 22 23; 5.57
 141;          ;00 34 55.3;+13 22 16; 6.40
 142; 13    Cet;00 35 14.9;-03 35 34; 5.20
 143; 14    Cet;00 35 32.8;-00 30 20; 5.93
 144;          ;00 36 08.3;+54 10 07; 5.08
 145;          ;00 35 54.7;+13 12 24; 6.41
 146;          ;00 36 27.3;+60 19 34; 5.79
 147;   Lam2Phe;00 35 41.1;-48 00 03; 5.51
 148;          ;00 35 33.4;-54 49 19; 6.06
 149;          ;00 36 20.0;+27 15 17; 6.50
 150;          ;00 36 03.0;-14 58 25; 6.45
 151;          ;00 36 06.9;-22 50 33; 6.06
 152;          ;00 36 46.6;+44 29 19; 5.13
 153; 17Zet Cas;00 36 58.3;+53 53 49; 3.66
 154; 29Pi  And;00 36 52.9;+33 43 10; 4.36
 155; 53    Psc;00 36 47.3;+15 13 54; 5.89
 156;          ;00 37 07.2;+24 00 51; 6.47
 157;          ;00 37 21.1;+35 23 58; 5.48
 158;          ;00 39 47.3;+82 29 38; 6.40
 159;          ;00 37 20.7;-24 46 02; 5.57
 160;          ;00 36 37.4;-65 07 29; 6.42
 161;          ;00 37 30.5;+03 08 07; 6.39
 162;          ;00 37 18.1;-54 23 39; 6.41
 163; 30Eps And;00 38 33.3;+29 18 42; 4.37
 164;          ;00 39 09.9;+49 21 16; 5.43
 165; 31Del And;00 39 19.7;+30 51 39; 3.27
 166; 54    Psc;00 39 21.8;+21 15 02; 5.87
 167; 55    Psc;00 39 55.6;+21 26 18; 5.36
 168; 18Alp Cas;00 40 30.5;+56 32 14; 2.23
 169;          ;00 38 40.8;-73 08 14; 6.85
 170;          ;00 39 57.9;-33 57 42; 6.69
 171;          ;00 39 52.0;-44 47 48; 6.01
 172;          ;00 40 28.6;-16 31 01; 6.49
 173;          ;00 40 32.9;-23 48 16; 6.14
 174;          ;00 40 42.4;-04 21 07; 5.91
 175; 32    And;00 41 07.2;+39 27 31; 5.33
 176;          ;00 40 26.4;-59 27 16; 5.89
 177;          ;00 42 03.4;+66 08 51; 5.83
 178;          ;00 41 36.0;+24 37 45; 6.04
 179; 19Xi  Cas;00 42 03.9;+50 30 45; 4.80
 180;   Mu  Phe;00 41 19.6;-46 05 06; 4.59
 181;          ;00 42 31.1;+58 45 12; 6.17
 182; M 31  And;          ;         ;
 183;   Xi  Phe;00 41 46.4;-56 30 06; 5.70
 184; 20Pi  Cas;00 43 28.1;+47 01 29; 4.94
 185;   Lam1Scl;00 42 42.9;-38 27 48; 6.06
 186;          ;00 42 41.8;-60 15 45; 5.98
 187;   Rho Tuc;00 42 28.4;-65 28 05; 5.39
 188; 16Bet Cet;00 43 35.4;-17 59 12; 2.04
 189;          ;00 44 26.4;+47 51 51; 5.67
 190;          ;00 43 50.2;-12 00 42; 6.02
 191;   Eta Phe;00 43 21.2;-57 27 47; 4.36
 192; 21    Cas;00 45 39.0;+74 59 17; 5.66
 193; 22Omi Cas;00 44 43.5;+48 17 04; 4.54
 194; 17Phi1Cet;00 44 11.4;-10 36 34; 4.76
 195;   Lam2Scl;00 44 12.1;-38 25 18; 5.90
 196;          ;00 45 17.2;+55 13 18; 5.42
 197;          ;00 44 44.4;-22 00 22; 5.24
 198;          ;00 44 57.1;-42 40 36; 5.94
