   1;00 06.0;+27 34;13.5;2
   2;00 06.0;+27 32;15.0;2
   3;00 06.0;+08 09;14.5;2
   4;00 06.9;+08 01;    ;
   5;00 06.5;+35 13;14.5;2
   6;00 07.0;+32 22;    ;
   7;00 07.1;-30 03;13.0;3
   8;00 07.5;+23 42;15.0;3
   9;00 07.6;+23 40;14.5;2
  10;00 07.4;-34 01;    ;
  11;00 07.4;+37 18;14.5;2
  12;00 07.5;+04 28;14.5;2
  13;00 07.5;+33 17;14.0;2
  14;00 07.4;+15 40;13.5;2
  15;00 07.8;+21 28;15.0;2
  16;00 07.8;+27 35;13.0;1
  17;00 07.8;-12 16;    ;
  18;00 08.1;+27 35;    ;
  19;00 08.1;+32 42;    ;
  20;00 08.3;+33 10;14.5;2
  21;00 09.4;+32 50;14.0;2
  22;00 08.5;+27 42;15.0;2
  23;00 08.6;+25 47;13.0;1
  24;00 08.7;-25 07;12.0;1
  25;00 08.7;-57 11;    ;
  26;00 09.1;+25 41;14.0;2
  27;00 09.2;+28 52;14.5;2
  28;00 09.1;-57 09;    ;
  29;00 09.5;+33 13;13.5;2
  30;00 09.5;+21 49;    ;
  31;00 09.3;-57 08;    ;
  32;00 09.6;+18 39;    ;
  33;00 09.6;+03 32;    ;
  34;00 09.8;-12 14;13.0;3
  35;00 09.9;-12 08;14.0;3
  36;00 10.0;+06 16;14.5;2
  37;00 10.1;-57 06;    ;
  38;00 10.6;-05 44;13.5;3
  39;00 11.0;+30 55;14.5;2
  40;00 11.7;+72 23;10.0;7
  41;00 11.5;+21 54;14.5;2
  42;00 11.6;+21 58;15.0;2
  43;00 11.7;+30 46;14.0;2
  44;00 11.8;+31 09;    ;
  45;00 12.7;-23 19;11.0;1
  46;00 12.8;+05 51;    ;
  47;00 13.2;-07 19;13.0;3
  48;00 12.7;+48 05;15.0;2
  49;00 13.0;+48 06;15.5;2
  50;00 13.4;-07 29;12.0;3
  51;00 13.2;+48 07;14.5;2
  52;00 13.3;+18 25;14.5;2
  53;00 13.5;-60 28;    ;
  54;00 13.8;-07 16;14.0;3
  55;00 13.8;-39 22; 8.0;1
  56;00 14.1;+12 18;    ;
  57;00 14.1;+17 10;13.5;2
  58;00 14.4;-07 19;    ;
  59;00 14.2;-21 35;13.0;3
  60;00 14.7;-00 26;15.5;2
  61;00 15.2;-06 22;15.0;3
